Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Exception Type,Error Messages
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.sendSourceAndReceiveToResult,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.sendSourceAndReceiveToResultNoResponse,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-security,org.springframework.ws.soap.security.xwss.callback.SpringDigestPasswordValidationCallbackHandlerTest.testAuthenticateUserDigestUserNotFound,OD;UD,java.lang.AssertionError, Authentication created expected null; but was:<org.springframework.security.authentication.UsernamePasswordAuthenticationToken@5ef582e1: Principal: WSUsernameTokenPrincipalImpl:  Ernie; Credentials: [PROTECTED]; Authenticated: true; Details: null; Granted Authorities: ROLE_1>\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-security,org.springframework.ws.soap.security.xwss.callback.SpringDigestPasswordValidationCallbackHandlerTest.testAuthenticateUserDigestValidInvalid,OD;UD,java.lang.AssertionError, Authentication created expected null; but was:<org.springframework.security.authentication.UsernamePasswordAuthenticationToken@5ef582e1: Principal: WSUsernameTokenPrincipalImpl:  Ernie; Credentials: [PROTECTED]; Authenticated: true; Details: null; Granted Authorities: ROLE_1>\\n
https://github.com/square/retrofit,ae28c3d5f6fe54f6ca409cdf82106efb47609f8f,retrofit-adapters/rxjava,retrofit2.adapter.rxjava.CancelDisposeTest.cancelDoesNotDispose,NOD,java.net.SocketException, Socket closed\\njava.lang.AssertionError\\n
https://github.com/square/retrofit,ae28c3d5f6fe54f6ca409cdf82106efb47609f8f,retrofit-adapters/rxjava,retrofit2.adapter.rxjava.CompletableThrowingSafeSubscriberTest.throwingInOnCompleteDeliveredToPlugin,NDOD;NOD,java.lang.IllegalStateException, Another strategy was already registered: rx.plugins.RxJavaPlugins$1@5f058f00\\n
https://github.com/square/retrofit,ae28c3d5f6fe54f6ca409cdf82106efb47609f8f,retrofit-adapters/rxjava,retrofit2.adapter.rxjava.CompletableThrowingTest.bodyThrowingInOnErrorDeliveredToPlugin,NOD,rx.exceptions.OnErrorFailedException, Error occurred attempting to subscribe [3 exceptions occurred. ] and then again while trying to pass to onError.\\n
https://github.com/square/retrofit,ae28c3d5f6fe54f6ca409cdf82106efb47609f8f,retrofit-adapters/rxjava,retrofit2.adapter.rxjava.ObservableThrowingTest.responseThrowingInOnCompleteDeliveredToPlugin,NOD,java.lang.IllegalStateException, Another strategy was already registered: rx.plugins.RxJavaPlugins$1@6379eb\\n
https://github.com/square/retrofit,ae28c3d5f6fe54f6ca409cdf82106efb47609f8f,retrofit-adapters/rxjava,retrofit2.adapter.rxjava.SingleThrowingTest.bodyThrowingInOnSuccessDeliveredToPlugin,NDOD;NOD,java.lang.IllegalStateException, Another strategy was already registered: rx.plugins.RxJavaPlugins$1@4a22f9e2\\n
https://github.com/tbsalling/aismessages,7b0c4c708b6bb9a6da3d5737bcad1857ade8a931,.,dk.tbsalling.aismessages.nmea.NMEAMessageHandlerTest.canHandleFragmentedMessageReceived,OD-Vic,java.lang.NullPointerException,* Multiple error messages. *
https://github.com/tbsalling/aismessages,7b0c4c708b6bb9a6da3d5737bcad1857ade8a931,.,dk.tbsalling.aismessages.nmea.NMEAMessageHandlerTest.canHandleUnfragmentedMessageReceived,OD-Vic,java.lang.NullPointerException,
